dataset,detector,failure_type,analysis_class_name,object_size_bin,risk_level,count,high_confidence_count,safety_relevant_count,mean_score,mean_iou,mean_best_same_class_iou,mean_best_wrong_class_iou
kitti,retinanet,duplicate_detection,Cyclist,medium,low,12,1,12,0.04698153,0.584431,0.584431,
kitti,retinanet,duplicate_detection,Cyclist,large,low,7,0,7,0.01889428,0.57127,0.57127,
kitti,retinanet,true_positive,Vehicle,small,none,3953,3632,0,0.88321154,0.842666,0.842666,
kitti,retinanet,true_positive,Vehicle,medium,none,1355,1258,0,0.91635204,0.868293,0.868293,
kitti,retinanet,true_positive,Vehicle,large,none,1005,962,0,0.95322974,0.905605,0.905605,
kitti,retinanet,true_positive,Pedestrian,small,none,534,418,534,0.7093131,0.715883,0.715883,
kitti,retinanet,true_positive,Pedestrian,medium,none,290,260,290,0.86670145,0.787593,0.787593,
kitti,retinanet,true_positive,Pedestrian,large,none,35,32,35,0.86866231,0.773276,0.773276,
kitti,retinanet,true_positive,Cyclist,small,none,234,203,234,0.79865321,0.775686,0.775686,
kitti,retinanet,true_positive,Cyclist,medium,none,54,44,54,0.80992921,0.813593,0.813593,
kitti,retinanet,true_positive,Cyclist,large,none,23,21,23,0.89162618,0.808265,0.808265,
kitti,faster_rcnn,false_negative,Vehicle,small,medium,112,0,0,,,0.233038,0.19068
kitti,faster_rcnn,false_negative,Vehicle,medium,medium,52,0,0,,,0.248214,0.208969
kitti,faster_rcnn,false_negative,Vehicle,large,medium,20,0,0,,,0.281109,0.303701
kitti,faster_rcnn,false_negative,Pedestrian,small,critical,64,0,64,,,0.272985,0.262878
kitti,faster_rcnn,false_negative,Pedestrian,medium,critical,16,0,16,,,0.360958,0.397566
kitti,faster_rcnn,false_negative,Pedestrian,large,critical,3,0,3,,,0.3272,0.457297
kitti,faster_rcnn,false_negative,Cyclist,small,critical,10,0,10,,,0.209709,0.127292
kitti,faster_rcnn,false_negative,Cyclist,medium,critical,2,0,2,,,0.245381,0.202997
kitti,faster_rcnn,false_positive,Vehicle,not_applicable,low,9915,1222,0,0.1058491,0.259255,0.216673,
kitti,faster_rcnn,false_positive,Pedestrian,not_applicable,medium,10359,667,10359,0.05682064,0.273009,0.066946,
kitti,faster_rcnn,false_positive,Cyclist,not_applicable,medium,8951,220,8951,0.02824393,0.355098,0.021628,
kitti,faster_rcnn,localization_error,Vehicle,small,low,74,16,0,0.1712779,0.349305,0.349305,0.226864
kitti,faster_rcnn,localization_error,Vehicle,medium,low,40,8,0,0.13596282,0.313171,0.313171,0.234501
kitti,faster_rcnn,localization_error,Vehicle,large,low,14,4,0,0.27978401,0.395673,0.395673,0.328465
kitti,faster_rcnn,localization_error,Pedestrian,small,medium,47,17,47,0.2676041,0.366426,0.366426,0.331844
kitti,faster_rcnn,localization_error,Pedestrian,medium,medium,14,5,14,0.2703247,0.408345,0.408345,0.442123
kitti,faster_rcnn,localization_error,Pedestrian,large,medium,3,1,3,0.22452298,0.3272,0.3272,0.457297
kitti,faster_rcnn,localization_error,Cyclist,small,medium,6,2,6,0.29349988,0.349515,0.349515,0.206796
kitti,faster_rcnn,localization_error,Cyclist,medium,medium,1,1,1,0.57665902,0.490761,0.490761,0.405995
kitti,faster_rcnn,class_confusion,Vehicle,small,high,37,4,37,0.04833283,0.455275,0.269505,0.455275
kitti,faster_rcnn,class_confusion,Vehicle,medium,high,20,1,20,0.01937271,0.437879,0.2819,0.437879
kitti,faster_rcnn,class_confusion,Vehicle,large,high,12,0,12,0.00239491,0.451829,0.342613,0.451829
kitti,faster_rcnn,class_confusion,Pedestrian,small,high,28,2,28,0.04058942,0.466319,0.397883,0.466319
kitti,faster_rcnn,class_confusion,Pedestrian,medium,high,12,0,12,0.00503158,0.488874,0.424837,0.488874
kitti,faster_rcnn,class_confusion,Pedestrian,large,high,2,0,2,0.01793646,0.583294,0.40124,0.583294
kitti,faster_rcnn,class_confusion,Cyclist,small,high,2,0,2,0.00231499,0.385958,0.330704,0.385958
kitti,faster_rcnn,class_confusion,Cyclist,medium,high,1,0,1,0.02589222,0.405995,0.490761,0.405995
kitti,faster_rcnn,duplicate_detection,Vehicle,small,low,402,87,0,0.16835914,0.566053,0.566053,
kitti,faster_rcnn,duplicate_detection,Vehicle,medium,low,153,36,0,0.18765523,0.572076,0.572076,
kitti,faster_rcnn,duplicate_detection,Vehicle,large,low,61,15,0,0.13511162,0.533745,0.533745,
kitti,faster_rcnn,duplicate_detection,Pedestrian,small,low,200,60,200,0.22747967,0.579824,0.579824,
kitti,faster_rcnn,duplicate_detection,Pedestrian,medium,low,68,15,68,0.16882868,0.56191,0.56191,
kitti,faster_rcnn,duplicate_detection,Pedestrian,large,low,8,0,8,0.0119915,0.60549,0.60549,
kitti,faster_rcnn,duplicate_detection,Cyclist,small,low,52,3,52,0.05727747,0.57388,0.57388,
kitti,faster_rcnn,duplicate_detection,Cyclist,medium,low,10,2,10,0.14340239,0.581468,0.581468,
kitti,faster_rcnn,duplicate_detection,Cyclist,large,low,4,0,4,0.05658744,0.59027,0.59027,
kitti,faster_rcnn,true_positive,Vehicle,small,none,3963,3818,0,0.94202464,0.859226,0.859226,
kitti,faster_rcnn,true_positive,Vehicle,medium,none,1333,1294,0,0.95903365,0.864466,0.864466,
kitti,faster_rcnn,true_positive,Vehicle,large,none,992,975,0,0.97495837,0.898913,0.898913,
kitti,faster_rcnn,true_positive,Pedestrian,small,none,582,497,582,0.77339009,0.730336,0.730336,
kitti,faster_rcnn,true_positive,Pedestrian,medium,none,282,268,282,0.92660854,0.784876,0.784876,
kitti,faster_rcnn,true_positive,Pedestrian,large,none,33,31,33,0.86098502,0.744152,0.744152,
kitti,faster_rcnn,true_positive,Cyclist,small,none,250,228,250,0.86295352,0.778182,0.778182,
kitti,faster_rcnn,true_positive,Cyclist,medium,none,55,50,55,0.85703774,0.804909,0.804909,
kitti,faster_rcnn,true_positive,Cyclist,large,none,23,22,23,0.91951576,0.811857,0.811857,
waymo,yolo,false_negative,Vehicle,small,medium,13135,0,0,,,0.010287,0.004973
waymo,yolo,false_negative,Vehicle,medium,medium,743,0,0,,,0.04973,0.022776
waymo,yolo,false_negative,Vehicle,large,medium,311,0,0,,,0.038532,0.008497
