dataset,detector,failure_type,analysis_class_name,object_size_bin,risk_level,count
waymo,yolo,localization_error,Pedestrian,large,medium,1
waymo,yolo,localization_error,Pedestrian,medium,medium,25
waymo,yolo,localization_error,Pedestrian,small,medium,289
waymo,yolo,localization_error,Vehicle,large,low,39
waymo,yolo,localization_error,Vehicle,medium,low,104
waymo,yolo,localization_error,Vehicle,small,low,417
waymo,yolo,true_positive,Cyclist,large,none,4
waymo,yolo,true_positive,Cyclist,medium,none,35
waymo,yolo,true_positive,Cyclist,small,none,55
waymo,yolo,true_positive,Pedestrian,large,none,46
waymo,yolo,true_positive,Pedestrian,medium,none,262
waymo,yolo,true_positive,Pedestrian,small,none,380
waymo,yolo,true_positive,Vehicle,large,none,536
waymo,yolo,true_positive,Vehicle,medium,none,835
waymo,yolo,true_positive,Vehicle,small,none,1368
