dataset,detector,image_id,image_path,false_negative_count,false_positive_count,localization_error_count,class_confusion_count,duplicate_detection_count,high_confidence_false_positive_count,safety_relevant_failure_count,total_non_tp_failure_events,failure_type_score,image_width,image_height,total_gt_in_image,total_predictions_in_image
waymo,rtdetr,933621182106051783_4160_000_4180_000_1543516673772469,data\processed\milestone_3\images\waymo\external\933621182106051783_4160_000_4180_000_1543516673772469.png,24,287,11,4,33,1,115,359,507.253117,640,640,37,300
waymo,rtdetr,2736377008667623133_2676_410_2696_410_1511721514997563,data\processed\milestone_3\images\waymo\external\2736377008667623133_2676_410_2696_410_1511721514997563.png,1,299,0,0,4,1,204,304,506.881135,640,640,2,300
waymo,rtdetr,2736377008667623133_2676_410_2696_410_1511721509500581,data\processed\milestone_3\images\waymo\external\2736377008667623133_2676_410_2696_410_1511721509500581.png,2,299,0,1,0,0,200,302,506.769393,640,640,3,300
waymo,rtdetr,3577352947946244999_3980_000_4000_000_1557847191097333,data\processed\milestone_3\images\waymo\external\3577352947946244999_3980_000_4000_000_1557847191097333.png,8,285,5,0,22,4,188,320,506.571882,640,640,23,300
waymo,rtdetr,16213317953898915772_1597_170_1617_170_1509233616293776,data\processed\milestone_3\images\waymo\external\16213317953898915772_1597_170_1617_170_1509233616293776.png,20,281,12,6,22,1,132,341,506.445006,640,640,39,300
waymo,rtdetr,10289507859301986274_4200_000_4220_000_1557847395172640,data\processed\milestone_3\images\waymo\external\10289507859301986274_4200_000_4220_000_1557847395172640.png,15,287,6,2,32,0,154,342,506.400452,640,640,28,300
waymo,rtdetr,6324079979569135086_2372_300_2392_300_1506988296259175,data\processed\milestone_3\images\waymo\external\6324079979569135086_2372_300_2392_300_1506988296259175.png,18,286,9,1,26,4,152,340,506.071665,640,640,32,300
kitti,rtdetr,001069,data\processed\milestone_3\images\kitti\val\001069.png,0,292,0,0,19,4,205,311,505.970402,640,640,8,300
waymo,rtdetr,13356997604177841771_3360_000_3380_000_1557267395587309,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267395587309.png,22,294,6,1,12,4,155,335,505.784483,640,640,28,300
waymo,rtdetr,14931160836268555821_5778_870_5798_870_1507338346234843,data\processed\milestone_3\images\waymo\external\14931160836268555821_5778_870_5798_870_1507338346234843.png,8,297,6,6,3,0,163,320,505.734864,640,640,11,300
waymo,rtdetr,933621182106051783_4160_000_4180_000_1543516671272780,data\processed\milestone_3\images\waymo\external\933621182106051783_4160_000_4180_000_1543516671272780.png,30,282,14,2,33,1,106,361,505.241739,640,640,48,300
kitti,rtdetr,004692,data\processed\milestone_3\images\kitti\val\004692.png,0,293,0,0,14,8,207,307,505.106402,640,640,7,300
waymo,rtdetr,13356997604177841771_3360_000_3380_000_1557267394587557,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267394587557.png,23,290,9,1,21,4,147,344,504.903778,640,640,33,300
waymo,rtdetr,4690718861228194910_1980_000_2000_000_1552693981249460,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693981249460.png,28,286,13,4,13,4,127,344,504.743503,640,640,42,300
waymo,rtdetr,14931160836268555821_5778_870_5798_870_1507338355130969,data\processed\milestone_3\images\waymo\external\14931160836268555821_5778_870_5798_870_1507338355130969.png,0,298,0,0,6,3,204,304,504.099512,640,640,2,300
waymo,rtdetr,3577352947946244999_3980_000_4000_000_1557847190597337,data\processed\milestone_3\images\waymo\external\3577352947946244999_3980_000_4000_000_1557847190597337.png,10,289,5,2,21,3,172,327,504.077905,640,640,21,300
waymo,rtdetr,16213317953898915772_1597_170_1617_170_1509233625293657,data\processed\milestone_3\images\waymo\external\16213317953898915772_1597_170_1617_170_1509233625293657.png,20,282,14,2,31,1,131,349,503.696337,640,640,38,300
waymo,rtdetr,10289507859301986274_4200_000_4220_000_1557847394672600,data\processed\milestone_3\images\waymo\external\10289507859301986274_4200_000_4220_000_1557847394672600.png,15,289,6,2,20,2,153,332,503.325758,640,640,26,300
waymo,rtdetr,14931160836268555821_5778_870_5798_870_1507338354131264,data\processed\milestone_3\images\waymo\external\14931160836268555821_5778_870_5798_870_1507338354131264.png,0,296,0,0,13,0,206,309,502.95995,640,640,4,300
waymo,rtdetr,2105808889850693535_2295_720_2315_720_1511129115979075,data\processed\milestone_3\images\waymo\external\2105808889850693535_2295_720_2315_720_1511129115979075.png,18,296,9,1,3,0,154,327,502.828338,640,640,22,300
waymo,rtdetr,13356997604177841771_3360_000_3380_000_1557267394087559,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267394087559.png,14,290,7,2,14,2,161,327,502.78516,640,640,24,300
waymo,rtdetr,933621182106051783_4160_000_4180_000_1543516689272642,data\processed\milestone_3\images\waymo\external\933621182106051783_4160_000_4180_000_1543516689272642.png,26,296,13,5,15,3,120,355,502.778769,640,640,30,300
waymo,rtdetr,3126522626440597519_806_440_826_440_1511046955507243,data\processed\milestone_3\images\waymo\external\3126522626440597519_806_440_826_440_1511046955507243.png,13,299,4,0,1,0,170,317,502.716635,640,640,14,300
waymo,rtdetr,11660186733224028707_420_000_440_000_1541042908272321,data\processed\milestone_3\images\waymo\external\11660186733224028707_420_000_440_000_1541042908272321.png,30,294,17,2,3,0,119,346,502.537362,640,640,36,300
kitti,rtdetr,005965,data\processed\milestone_3\images\kitti\val\005965.png,0,294,0,0,11,12,203,305,502.504194,640,640,6,300
waymo,rtdetr,8679184381783013073_7740_000_7760_000_1541816060898879,data\processed\milestone_3\images\waymo\external\8679184381783013073_7740_000_7760_000_1541816060898879.png,30,294,6,2,3,0,129,335,502.478945,640,640,36,300
waymo,rtdetr,4690718861228194910_1980_000_2000_000_1552693986749419,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693986749419.png,32,290,10,3,17,4,108,352,501.869984,640,640,42,300
waymo,rtdetr,14931160836268555821_5778_870_5798_870_1507338355630724,data\processed\milestone_3\images\waymo\external\14931160836268555821_5778_870_5798_870_1507338355630724.png,0,298,0,0,13,1,202,311,501.860865,640,640,2,300
kitti,rtdetr,004379,data\processed\milestone_3\images\kitti\val\004379.png,0,297,0,0,15,0,204,312,501.829345,640,640,3,300
waymo,rtdetr,4690718861228194910_1980_000_2000_000_1552693988249416,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693988249416.png,31,289,14,3,19,4,105,356,501.743044,640,640,42,300
waymo,rtdetr,13356997604177841771_3360_000_3380_000_1557267392087628,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267392087628.png,26,291,14,3,10,3,124,344,501.645897,640,640,35,300
waymo,rtdetr,8679184381783013073_7740_000_7760_000_1541816070898763,data\processed\milestone_3\images\waymo\external\8679184381783013073_7740_000_7760_000_1541816070898763.png,28,295,16,2,3,0,124,344,501.609811,640,640,33,300
waymo,rtdetr,8679184381783013073_7740_000_7760_000_1541816073898483,data\processed\milestone_3\images\waymo\external\8679184381783013073_7740_000_7760_000_1541816073898483.png,29,294,19,3,7,0,111,352,501.603213,640,640,35,300
kitti,rtdetr,004343,data\processed\milestone_3\images\kitti\val\004343.png,0,298,0,0,20,0,203,318,501.577074,640,640,2,300
waymo,rtdetr,2736377008667623133_2676_410_2696_410_1511721511500703,data\processed\milestone_3\images\waymo\external\2736377008667623133_2676_410_2696_410_1511721511500703.png,2,299,0,0,1,0,197,302,501.562761,640,640,3,300
waymo,rtdetr,933621182106051783_4160_000_4180_000_1543516678272423,data\processed\milestone_3\images\waymo\external\933621182106051783_4160_000_4180_000_1543516678272423.png,23,292,9,3,14,0,131,341,501.139268,640,640,31,300
waymo,rtdetr,2736377008667623133_2676_410_2696_410_1511721513998928,data\processed\milestone_3\images\waymo\external\2736377008667623133_2676_410_2696_410_1511721513998928.png,1,299,0,0,3,2,198,303,500.957749,640,640,2,300
waymo,rtdetr,2736377008667623133_2676_410_2696_410_1511721511000845,data\processed\milestone_3\images\waymo\external\2736377008667623133_2676_410_2696_410_1511721511000845.png,2,299,1,0,2,0,195,304,500.681158,640,640,3,300
