dataset,detector,image_id,image_path,missed_pedestrians,missed_cyclists,small_missed_vru,medium_missed_vru,large_missed_vru,total_safety_false_negatives,max_best_same_class_iou,max_best_wrong_class_iou,safety_critical_score,image_width,image_height,total_gt_in_image,total_predictions_in_image
waymo,faster_rcnn,9114112687541091312_1100_000_1120_000_1544144340816348,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144340816348.png,31,3,33,1,0,34,0.426361,0.283523,51.25,640,640,47,8
waymo,faster_rcnn,9114112687541091312_1100_000_1120_000_1544144341816280,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144341816280.png,31,3,33,1,0,34,0.371509,0.258747,51.25,640,640,48,7
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144325216299,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144325216299.png,29,4,33,0,0,33,0.0,0.0,50.5,640,640,47,4
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144325716300,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144325716300.png,30,3,33,0,0,33,0.0,0.0,50.25,640,640,48,7
waymo,retinanet,9114112687541091312_1100_000_1120_000_1544144326216286,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144326216286.png,30,3,33,0,0,33,0.342375,0.532416,50.25,640,640,48,6
waymo,retinanet,9114112687541091312_1100_000_1120_000_1544144338816151,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144338816151.png,30,3,33,0,0,33,0.0,0.0,50.25,640,640,45,7
waymo,retinanet,9114112687541091312_1100_000_1120_000_1544144341316314,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144341316314.png,30,3,33,0,0,33,0.0,0.0,50.25,640,640,49,8
waymo,faster_rcnn,9114112687541091312_1100_000_1120_000_1544144339816354,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144339816354.png,30,3,33,0,0,33,0.486687,0.297066,50.25,640,640,47,12
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857361137300,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857361137300.png,31,2,33,0,0,33,0.177191,0.768747,50.0,640,640,47,21
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857361637343,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857361637343.png,31,2,33,0,0,33,0.118068,0.220245,50.0,640,640,46,16
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857362137378,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857362137378.png,31,2,33,0,0,33,0.002249,0.119665,50.0,640,640,47,14
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857363637447,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857363637447.png,31,2,33,0,0,33,0.0,0.644772,50.0,640,640,45,9
waymo,rtdetr,8506432817378693815_4860_000_4880_000_1557857366137460,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857366137460.png,31,2,33,0,0,33,0.458014,0.417756,50.0,640,640,53,300
waymo,rtdetr,8506432817378693815_4860_000_4880_000_1557857366637459,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857366637459.png,31,2,33,0,0,33,0.499773,0.499773,50.0,640,640,49,300
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857360637369,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857360637369.png,31,2,33,0,0,33,0.410811,0.710335,50.0,640,640,51,23
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857365637432,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857365637432.png,31,2,33,0,0,33,0.316039,0.758424,50.0,640,640,49,20
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857363137470,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857363137470.png,31,2,33,0,0,33,0.422768,0.44128,50.0,640,640,49,27
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857367137450,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857367137450.png,31,2,33,0,0,33,0.277399,0.369972,50.0,640,640,47,18
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857367637448,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857367637448.png,31,2,33,0,0,33,0.294373,0.039325,50.0,640,640,47,15
waymo,yolo,13356997604177841771_3360_000_3380_000_1557267378087469,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267378087469.png,32,1,33,0,0,33,0.012987,0.0,49.75,640,640,48,2
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857354135532,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857354135532.png,32,1,33,0,0,33,0.024334,0.0,49.75,640,640,57,7
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857364637449,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857364637449.png,32,1,33,0,0,33,0.339797,0.006162,49.75,640,640,48,10
waymo,rtdetr,8506432817378693815_4860_000_4880_000_1557857359136948,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857359136948.png,32,1,33,0,0,33,0.456716,0.558759,49.75,640,640,53,300
