dataset,detector,class_name,object_size_bin,tp,fn,gt_objects,recall,false_negative_rate,mean_normalized_area
waymo,rtdetr,Vehicle,large,729,118,847,0.860685,0.139315,0.03726046
waymo,rtdetr,Vehicle,all_sizes,5061,11867,16928,0.298972,0.701028,0.00319935
waymo,rtdetr,Pedestrian,small,1505,5241,6746,0.223095,0.776905,0.00050774
waymo,rtdetr,Pedestrian,medium,290,44,334,0.868263,0.131737,0.00787593
waymo,rtdetr,Pedestrian,large,45,2,47,0.957447,0.042553,0.02370068
waymo,rtdetr,Pedestrian,all_sizes,1840,5287,7127,0.258173,0.741827,0.001006
waymo,rtdetr,Cyclist,small,168,516,684,0.245614,0.754386,0.00052367
waymo,rtdetr,Cyclist,medium,58,8,66,0.878788,0.121212,0.00634433
waymo,rtdetr,Cyclist,large,5,9,14,0.357143,0.642857,0.02371914
waymo,rtdetr,Cyclist,all_sizes,231,533,764,0.302356,0.697644,0.00145155
waymo,rtdetr,Vulnerable_Road_Users,small,1673,5757,7430,0.225168,0.774832,0.00050921
waymo,rtdetr,Vulnerable_Road_Users,medium,348,52,400,0.87,0.13,0.00762321
waymo,rtdetr,Vulnerable_Road_Users,large,50,11,61,0.819672,0.180328,0.02370492
waymo,rtdetr,Vulnerable_Road_Users,all_sizes,2071,5820,7891,0.262451,0.737549,0.00104913
waymo,rtdetr,All_Classes,small,4780,17153,21933,0.217936,0.782064,0.00061331
waymo,rtdetr,All_Classes,medium,1573,405,1978,0.795248,0.204752,0.00807889
waymo,rtdetr,All_Classes,large,779,129,908,0.85793,0.14207,0.03634979
waymo,rtdetr,All_Classes,all_sizes,7132,17687,24819,0.28736,0.71264,0.00251571
waymo,retinanet,Vehicle,small,2022,12481,14503,0.139419,0.860581,0.00066664
waymo,retinanet,Vehicle,medium,999,579,1578,0.63308,0.36692,0.0081944
waymo,retinanet,Vehicle,large,702,145,847,0.828808,0.171192,0.03726046
waymo,retinanet,Vehicle,all_sizes,3723,13205,16928,0.219931,0.780069,0.00319935
waymo,retinanet,Pedestrian,small,865,5881,6746,0.128224,0.871776,0.00050774
waymo,retinanet,Pedestrian,medium,267,67,334,0.799401,0.200599,0.00787593
waymo,retinanet,Pedestrian,large,45,2,47,0.957447,0.042553,0.02370068
waymo,retinanet,Pedestrian,all_sizes,1177,5950,7127,0.165147,0.834853,0.001006
waymo,retinanet,Cyclist,small,82,602,684,0.119883,0.880117,0.00052367
waymo,retinanet,Cyclist,medium,54,12,66,0.818182,0.181818,0.00634433
waymo,retinanet,Cyclist,large,4,10,14,0.285714,0.714286,0.02371914
waymo,retinanet,Cyclist,all_sizes,140,624,764,0.183246,0.816754,0.00145155
waymo,retinanet,Vulnerable_Road_Users,small,947,6483,7430,0.127456,0.872544,0.00050921
